title,property_type,price,district,location,area,bedrooms,bathrooms
4BHK Flat,Flat,8400000,Mehsana,Radhanpur Road,2296,4,4
4BHK Flat,Flat,5700000,Bhavnagar,Kalanala,1724,4,3
2BHK Flat,Flat,4600000,Anand,Anand Town,1069,2,1
1BHK Flat,Flat,2200000,Gandhinagar,Sector 1,520,1,1
2BHK Flat,Flat,2300000,Amreli,Rajendra Nagar,836,2,1
2BHK Villa,Villa,6600000,Gandhinagar,Sector 21,1032,2,2
4BHK Flat,Flat,9800000,Junagadh,Kalwa Chowk,2911,4,4
2BHK Villa,Villa,3900000,Valsad,Halar,1356,2,1
2BHK Flat,Flat,2900000,Bhavnagar,Waghawadi Road,722,2,2
2BHK Flat,Flat,4600000,Gandhinagar,Sector 7,1019,2,2
3BHK Flat,Flat,5200000,Anand,Anand Town,1465,3,2
4BHK Flat,Flat,8500000,Anand,Vallabh Vidyanagar,2529,4,4
3BHK Villa,Villa,11200000,Rajkot,Kalawad Road,1935,3,3
1BHK Flat,Flat,3000000,Vadodara,Vasna Road,563,1,1
1BHK Flat,Flat,3900000,Vadodara,Harni,687,1,1
2BHK Flat,Flat,3300000,Jamnagar,Ranjit Road,1053,2,1
2BHK Villa,Villa,3600000,Navsari,Station Road,1168,2,2
2BHK Villa,Villa,4500000,Rajkot,Raiya Road,1144,2,1
2BHK Flat,Flat,3400000,Mehsana,Radhanpur Road,1050,2,1
2BHK Villa,Villa,8400000,Vadodara,Gotri,1481,2,2
3BHK Flat,Flat,4000000,Mehsana,Navagam,1243,3,3
3BHK Villa,Villa,7800000,Vadodara,Karelibaug,1613,3,2
3BHK Villa,Villa,6600000,Bharuch,Zadeshwar,2149,3,2
2BHK Flat,Flat,2300000,Mehsana,Modhera Road,802,2,2
3BHK Flat,Flat,4500000,Valsad,Fort Road,1237,3,2
2BHK Villa,Villa,4300000,Rajkot,Kotecha Chowk,1138,2,1
3BHK Villa,Villa,9600000,Mehsana,Modhera Road,2218,3,3
2BHK Flat,Flat,2700000,Morbi,Ravapar Road,813,2,2
3BHK Villa,Villa,9000000,Jamnagar,Shastri Nagar,1989,3,2
2BHK Flat,Flat,2600000,Valsad,Dharampur Road,905,2,1
4BHK Flat,Flat,7600000,Bhavnagar,Waghawadi Road,2868,4,3
2BHK Villa,Villa,4500000,Navsari,Dudhia Talav,1005,2,1
3BHK Villa,Villa,9300000,Anand,Karamsad,2143,3,3
3BHK Villa,Villa,6600000,Bharuch,Kasak,1994,3,3
1BHK Flat,Flat,2700000,Surat,VIP Road,513,1,1
3BHK Villa,Villa,7800000,Morbi,Shaktinagar,2150,3,3
2BHK Villa,Villa,7100000,Anand,Karamsad,1536,2,2
3BHK Flat,Flat,5400000,Navsari,Lunsikui,1641,3,3
2BHK Villa,Villa,3200000,Anand,Karamsad,1014,2,2
2BHK Flat,Flat,2100000,Navsari,Lunsikui,723,2,1
1BHK Flat,Flat,3700000,Surat,Pal,670,1,1
2BHK Flat,Flat,3100000,Vadodara,Karelibaug,767,2,1
2BHK Villa,Villa,3900000,Morbi,Nava Bazar,1424,2,2
3BHK Flat,Flat,4700000,Bharuch,Station Road,1371,3,2
3BHK Flat,Flat,7200000,Anand,Anand Town,1741,3,3
2BHK Flat,Flat,4000000,Anand,Bakrol,1056,2,2
3BHK Flat,Flat,4500000,Rajkot,Mavdi,1007,3,2
2BHK Flat,Flat,2600000,Mehsana,Navagam,731,2,1
4BHK Flat,Flat,4900000,Valsad,Nanpura,1742,4,3
3BHK Flat,Flat,5600000,Morbi,Station Road,1664,3,3
3BHK Villa,Villa,7600000,Morbi,Vaishali Nagar,1889,3,3
2BHK Villa,Villa,4500000,Valsad,Tithal Road,1125,2,2
3BHK Flat,Flat,5100000,Navsari,Station Road,1541,3,3
4BHK Villa,Villa,15000000,Gandhinagar,Sector 16,2173,4,4
3BHK Flat,Flat,6400000,Vadodara,Akota,1069,3,3
3BHK Flat,Flat,8000000,Surat,Piplod,1665,3,3
2BHK Villa,Villa,2700000,Morbi,Ravapar Road,941,2,1
4BHK Villa,Villa,7200000,Amreli,Station Road,2670,4,4
3BHK Flat,Flat,5800000,Amreli,Sardar Nagar,1714,3,2
2BHK Flat,Flat,4700000,Ahmedabad,Bodakdev,882,2,1
2BHK Villa,Villa,3800000,Bharuch,GIDC Ankleshwar,1252,2,1
3BHK Flat,Flat,5200000,Jamnagar,Indira Marg,1718,3,2
3BHK Flat,Flat,3800000,Bharuch,Station Road,1291,3,2
3BHK Flat,Flat,11000000,Surat,Althan,1707,3,2
2BHK Flat,Flat,2800000,Jamnagar,Shastri Nagar,851,2,1
1BHK Flat,Flat,1400000,Morbi,Station Road,507,1,1
2BHK Flat,Flat,3000000,Junagadh,Ranavav Road,881,2,2
4BHK Villa,Villa,12600000,Gandhinagar,Sector 7,2358,4,3
3BHK Flat,Flat,9400000,Vadodara,Waghodia Road,1620,3,2
3BHK Flat,Flat,4000000,Anand,Bakrol,1208,3,2
2BHK Flat,Flat,4700000,Vadodara,Subhanpura,790,2,1
2BHK Flat,Flat,3400000,Valsad,Tithal Road,938,2,2
2BHK Villa,Villa,4700000,Rajkot,Gondal Road,1151,2,1
3BHK Villa,Villa,7900000,Valsad,Nanpura,2011,3,2
2BHK Villa,Villa,4300000,Junagadh,College Road,1149,2,2
3BHK Flat,Flat,3800000,Bhavnagar,Kalanala,1237,3,2
1BHK Flat,Flat,2800000,Gandhinagar,Pethapur,519,1,1
3BHK Flat,Flat,4500000,Jamnagar,Indira Marg,1370,3,3
4BHK Villa,Villa,11300000,Bharuch,Zadeshwar,2982,4,3
2BHK Villa,Villa,6800000,Navsari,Lunsikui,1513,2,2
2BHK Flat,Flat,3500000,Navsari,Station Road,885,2,1
3BHK Villa,Villa,4900000,Morbi,Vaishali Nagar,1424,3,3
3BHK Villa,Villa,6100000,Morbi,Vaishali Nagar,1650,3,2
3BHK Flat,Flat,3500000,Mehsana,Radhanpur Road,1205,3,2
2BHK Flat,Flat,3100000,Vadodara,Waghodia Road,726,2,1
2BHK Flat,Flat,2900000,Junagadh,College Road,808,2,2
3BHK Flat,Flat,3400000,Junagadh,Sakar Bagh Road,1117,3,3
2BHK Villa,Villa,3800000,Morbi,Nava Bazar,1064,2,2
2BHK Flat,Flat,2200000,Jamnagar,Indira Marg,758,2,1
2BHK Villa,Villa,4600000,Amreli,Rajendra Nagar,1510,2,1
4BHK Flat,Flat,7700000,Morbi,Ravapar Road,2775,4,3
3BHK Flat,Flat,7300000,Jamnagar,Bedi Gate,1787,3,3
3BHK Villa,Villa,3800000,Junagadh,College Road,1347,3,3
2BHK Flat,Flat,3800000,Anand,Anand Town,874,2,1
2BHK Villa,Villa,4200000,Navsari,Lunsikui,1357,2,1
2BHK Villa,Villa,3000000,Bharuch,GIDC Ankleshwar,949,2,2
3BHK Villa,Villa,8200000,Jamnagar,Shastri Nagar,2099,3,2
2BHK Villa,Villa,4800000,Junagadh,College Road,1475,2,1
4BHK Flat,Flat,13300000,Surat,Althan,2035,4,4
3BHK Flat,Flat,5100000,Navsari,Lunsikui,1686,3,3
3BHK Villa,Villa,8100000,Vadodara,Gotri,1479,3,3
1BHK Flat,Flat,1800000,Bharuch,Station Road,594,1,1
2BHK Flat,Flat,4100000,Vadodara,Manjalpur,867,2,2
3BHK Villa,Villa,6200000,Junagadh,Sakar Bagh Road,2228,3,3
1BHK Flat,Flat,3400000,Gandhinagar,Kudasan,596,1,1
3BHK Villa,Villa,7800000,Jamnagar,Shastri Nagar,2045,3,2
3BHK Flat,Flat,6600000,Gandhinagar,Pethapur,1363,3,3
2BHK Flat,Flat,2400000,Bhavnagar,Atabhai Circle,706,2,2
3BHK Flat,Flat,5500000,Vadodara,Subhanpura,1359,3,3
2BHK Villa,Villa,3100000,Morbi,Station Road,997,2,2
3BHK Flat,Flat,8100000,Gandhinagar,Kudasan,1741,3,3
2BHK Flat,Flat,4300000,Bhavnagar,Ghogha Circle,1076,2,2
3BHK Villa,Villa,17300000,Ahmedabad,Vastrapur,2112,3,3
4BHK Flat,Flat,10900000,Rajkot,Mavdi,2360,4,4
2BHK Villa,Villa,8400000,Vadodara,Manjalpur,1390,2,1
1BHK Flat,Flat,1300000,Anand,Bakrol,459,1,1
4BHK Villa,Villa,19100000,Vadodara,Fatehgunj,2946,4,4
4BHK Villa,Villa,9900000,Valsad,Halar,2404,4,4
3BHK Flat,Flat,4100000,Amreli,Station Road,1110,3,3
2BHK Flat,Flat,4500000,Gandhinagar,Sector 1,776,2,2
2BHK Flat,Flat,3400000,Junagadh,Chittakhana Chowk,956,2,2
3BHK Flat,Flat,4200000,Bhavnagar,Rupani Circle,1292,3,2
1BHK Flat,Flat,2300000,Amreli,Station Road,671,1,1
3BHK Flat,Flat,7900000,Ahmedabad,Navrangpura,1165,3,3
3BHK Flat,Flat,5300000,Rajkot,University Road,1022,3,3
4BHK Flat,Flat,12500000,Surat,Jahangirpura,2439,4,3
3BHK Flat,Flat,4400000,Amreli,Rajendra Nagar,1171,3,3
3BHK Flat,Flat,3700000,Morbi,Vaishali Nagar,1307,3,3
2BHK Villa,Villa,3600000,Navsari,Station Road,1068,2,2
2BHK Villa,Villa,5900000,Jamnagar,Digvijay Plot,1344,2,2
1BHK Flat,Flat,2200000,Navsari,Lunsikui,585,1,1
3BHK Villa,Villa,7000000,Bhavnagar,Atabhai Circle,2012,3,3
2BHK Villa,Villa,7800000,Ahmedabad,Vastrapur,1276,2,1
3BHK Flat,Flat,4900000,Valsad,Tithal Road,1685,3,3
3BHK Villa,Villa,12100000,Gandhinagar,Pethapur,1885,3,3
2BHK Flat,Flat,2600000,Mehsana,Highway Road,804,2,2
2BHK Flat,Flat,2800000,Bhavnagar,Rupani Circle,930,2,2
1BHK Flat,Flat,1800000,Junagadh,Ranavav Road,560,1,1
3BHK Flat,Flat,4400000,Navsari,Abrama,1479,3,2
3BHK Flat,Flat,5600000,Navsari,Lunsikui,1692,3,3
3BHK Villa,Villa,12700000,Rajkot,150 Feet Ring Road,2206,3,3
3BHK Flat,Flat,4700000,Anand,Bakrol,1629,3,2
4BHK Flat,Flat,9000000,Bharuch,Station Road,2170,4,3
2BHK Villa,Villa,6400000,Anand,Karamsad,1539,2,1
4BHK Villa,Villa,8500000,Morbi,Vaishali Nagar,2180,4,4
3BHK Flat,Flat,4700000,Junagadh,Kalwa Chowk,1229,3,3
2BHK Flat,Flat,3200000,Navsari,Sayaji Road,825,2,1
2BHK Flat,Flat,5000000,Ahmedabad,Thaltej,804,2,1
3BHK Flat,Flat,6700000,Navsari,Station Road,1697,3,3
3BHK Flat,Flat,4100000,Navsari,Sayaji Road,1051,3,3
2BHK Flat,Flat,3700000,Jamnagar,Digvijay Plot,901,2,1
4BHK Flat,Flat,14600000,Surat,VIP Road,2215,4,3
2BHK Villa,Villa,3600000,Anand,Vidyanagar,1190,2,1
3BHK Flat,Flat,7300000,Gandhinagar,Sector 11,1481,3,2
3BHK Flat,Flat,4500000,Navsari,Abrama,1477,3,2
4BHK Flat,Flat,11200000,Surat,Udhna,2493,4,3
4BHK Villa,Villa,14800000,Rajkot,Bhaktinagar,2456,4,3
3BHK Villa,Villa,4300000,Anand,Borsad Road,1356,3,3
2BHK Flat,Flat,2300000,Junagadh,Sakar Bagh Road,851,2,1
2BHK Villa,Villa,4600000,Morbi,Ravapar Road,1227,2,1
3BHK Villa,Villa,7000000,Junagadh,Ranavav Road,1631,3,3
3BHK Flat,Flat,2700000,Bhavnagar,Rupani Circle,1049,3,3
2BHK Flat,Flat,3700000,Rajkot,Kalawad Road,743,2,1
4BHK Flat,Flat,12500000,Vadodara,Karelibaug,2552,4,4
2BHK Flat,Flat,4700000,Surat,Piplod,1002,2,2
